title,category1,rank,S_scale,S_score
"নির্বাচনে আসুন, ফাঁকা মাঠে গোল দিতে চাই না: ওবায়দুল কাদের",রাজনীতি,1,1.0,20.0
দুর্ঘটনায় জীবনের ক্ষতিও আপসযোগ্য হচ্ছে,রাজনীতি,1,1.0,20.0
রাষ্ট্রপতি পদে আ.লীগের প্রার্থী দুদকের সাবেক কমিশনার,রাজনীতি,1,1.0,20.0
বিএনপির পদযাত্রায় হামলা সংঘর্ষ গুলি,রাজনীতি,1,1.0,20.0
রাষ্ট্রপতি নির্বাচন: আওয়ামী লীগ প্রার্থীর মনোনয়নপত্র নিয়ে ইসিতে ওবায়দুল কাদের,রাজনীতি,1,1.0,20.0
সাহাবুদ্দিন চুপ্পুকে প্রধানমন্ত্রীর অভিনন্দন,রাজনীতি,1,1.0,20.0
শ্যামলীর মাঠে বিএনপির পদযাত্রায় অংশ নিতে জড়ো হচ্ছেন নেতাকর্মীরা,রাজনীতি,1,1.0,20.0
"রাষ্ট্রপতির প্রস্তাবক ওবায়দুল কাদের, সমর্থক হাছান মাহমুদ",রাজনীতি,1,1.0,20.0
"কোথায় বিএনপির নেতাকর্মীরা বিশৃঙ্খলা করেছে, প্রশ্ন মোশাররফের",রাজনীতি,1,1.0,20.0
কেন সাহাবুদ্দিনকে রাষ্ট্রপতি পদে মনোনয়ন (ভিডিও),রাজনীতি,1,1.0,20.0
চেয়ারম্যানের দায়িত্ব পালন করতে পারবেন জিএম কাদের: চেম্বার আদালত,রাজনীতি,1,1.0,20.0
"রাষ্ট্রপতি পদে সাহাবুদ্দিন চুপ্পুকে মনোনয়ন, যা বলল বিএনপি",রাজনীতি,1,1.0,20.0
সব মহানগরে বিএনপির পদযাত্রা কর্মসূচি ঘোষণা,রাজনীতি,1,1.0,20.0
দেশের চিকিৎসা ব্যবস্থা মুখ থুবড়ে পড়তে পারে: জিএম কাদের,রাজনীতি,1,1.0,20.0
ছাত্রলীগের ২১ নেতাকর্মী বহিষ্কার,রাজনীতি,1,1.0,20.0
তরুণদের আর্থিক সুবিধা দেয় না ব্যাংক ও আর্থিক প্রতিষ্ঠান,অর্থনীতি,2,0.875,17.5
ষষ্ঠ ও সপ্তম শ্রেণির সেই দুই বই না পড়ানোর নির্দেশ,শিক্ষা,5,0.5,10.0
অপহরণে অভিযুক্ত সেই অসিত পালকে বহিষ্কার করল ছাত্রলীগ,শিক্ষা,5,0.5,10.0
"রাবিতে ভর্তি পরীক্ষা শুরু ২৯ মে, থাকছে সেকেন্ড টাইম",শিক্ষা,5,0.5,10.0
জবিতে নতুন তিন বিভাগের অনুমোদন,শিক্ষা,5,0.5,10.0
"রাবি প্রেসক্লাবের সভাপতি অভি, সম্পাদক তুহিন",শিক্ষা,5,0.5,10.0
"শিক্ষার্থীকে অপহরণ করে চাঁদা দাবি, রাজশাহী মহানগর ছাত্রলীগ নেতা গ্রেফতার",শিক্ষা,5,0.5,10.0
ফিট থাকতে কী খাবেন?,লাইফস্টাইল,6,0.375,7.5
ভারতীয় দলে পক্ষপাতিত্বের অভিযোগ,খেলাধুলা,7,0.25,5.0
"

সবার আগে ফাইনালে কুমিল্লা ভিক্টোরিয়ান্স
",খেলাধুলা,7,0.25,5.0
বরিশালকে বিদায় করে ‘সেমিফাইনালে’ রংপুর,খেলাধুলা,7,0.25,5.0
মাহমুদউল্লাহকে ‘মন খুলে’ খেলতে বললেন কোচ,খেলাধুলা,7,0.25,5.0
টস হেরে ব্যাটিংয়ে মাশরাফির সিলেট,খেলাধুলা,7,0.25,5.0
"

পঞ্চম ক্লাব বিশ্বকাপ শিরোপা ঘরে তুলল রিয়াল মাদ্রিদ
",খেলাধুলা,7,0.25,5.0
"

ভারতের মাটিতে অজিদের লজ্জার পরাজয়
",খেলাধুলা,7,0.25,5.0
"

আবারো হেরে গেল পিএসজি
",খেলাধুলা,7,0.25,5.0
ফের পাকিস্তানের নির্বাচক হওয়ার আগ্রহ ইনজামামের,খেলাধুলা,7,0.25,5.0
"

বিপিএলে ইতিহাস সৃষ্টি করলেন নাজমুল হোসেন শান্ত
",খেলাধুলা,7,0.25,5.0
মিরাজ ঝড়ে চ্যালেঞ্জিং স্কোর বরিশালের,খেলাধুলা,7,0.25,5.0
সাকিবের ব্যাটিং না করার কারণ জানালেন কোচ,খেলাধুলা,7,0.25,5.0
"

প্রথম নক আউট ম্যাচে টসে হেরে ব্যাটিংয়ে বরিশাল
",খেলাধুলা,7,0.25,5.0
"ফের বিয়ে করবেন হার্দিক পান্ডিয়া, পাত্রী কে?",খেলাধুলা,7,0.25,5.0
মাইকে ঘোষণা দিয়ে ক্ষমা চাইলেন মেসির সতীর্থ,খেলাধুলা,7,0.25,5.0
১২৬ রান করলেই ফাইনালে কুমিল্লা,খেলাধুলা,7,0.25,5.0
নারী আইপিএলে কে এই মালিকা,খেলাধুলা,7,0.25,5.0
"ভারত সফরে অস্ট্রেলিয়ার ভরাডুবি, যা বললেন ভন",খেলাধুলা,7,0.25,5.0
মোনাকোঝড়ে বিধ্বস্ত মেসি-এমবাপ্পে বিহীন পিএসজি,খেলাধুলা,7,0.25,5.0
‘মলম বিতর্ক’ শাস্তি হলো ভারতীয় তারকার,খেলাধুলা,7,0.25,5.0
আজ মুখোমুখি হচ্ছে চিরপ্রতিদ্বন্দ্বী ভারত-পাকিস্তান,খেলাধুলা,7,0.25,5.0
প্লে অফ পর্বে আজ মাঠে নামছে বরিশাল-রংপুর ও কুমিল্লা-সিলেট,খেলাধুলা,7,0.25,5.0
যানজট নিরসনে রাস্তা থেকে গাছ সরালেন মাশরাফি,খেলাধুলা,7,0.25,5.0
যে কারণে শাস্তির মুখে খালেদ মাহমুদ সুজন!,খেলাধুলা,7,0.25,5.0
বাবরকে যে পরামর্শ দিলেন মুশতাক,খেলাধুলা,7,0.25,5.0
কোয়ালিফায়ার নিশ্চিতে রংপুরের দরকার ১৭১ রান,খেলাধুলা,7,0.25,5.0
"

কুমিল্লার বিপক্ষে ১২৫ রানেই অলআউট সিলেট
",খেলাধুলা,7,0.25,5.0
"

ফাইনালে পা রাখার লড়াইয়ে মুখোমুখি কুমিল্লা-সিলেট
",খেলাধুলা,7,0.25,5.0
"

বরিশালের বিদায়ে কোয়ালিফায়ারে রংপুর
",খেলাধুলা,7,0.25,5.0
"

টি-টোয়েন্টি বিশ্বকাপ যেন বাংলাদেশের মেয়েদের জন্য আইপিএলে ডাক পাওয়ার ক্ষেত্র
",খেলাধুলা,7,0.25,5.0
"

টি-টোয়েন্টি ক্রিকেটে শততম ম্যাচ খেলার রেকর্ড গড়লেন সাকিব
",খেলাধুলা,7,0.25,5.0
"

সমতার দাবিতে কানাডিয়ান নারী ফুটবল দলের ধর্মঘট প্রত্যাহার
",খেলাধুলা,7,0.25,5.0
"

পগবার ফেরা এখনো নিশ্চিত নয়
",খেলাধুলা,7,0.25,5.0
"

বরিশালের বিপক্ষে ১৭১ রান করলেই কোয়ালিফায়ারে রংপুর
",খেলাধুলা,7,0.25,5.0
বরিশালের বিপক্ষে টস জিতে ফিল্ডিংয়ে রংপুর,খেলাধুলা,7,0.25,5.0
সিলেটকে হারিয়ে ফাইনালে কুমিল্লা,খেলাধুলা,7,0.25,5.0
ইরানি তরুণীকে ধর্ষণের অভিযোগ রাখির স্বামীর বিরুদ্ধে,বিনোদন,8,0.125,2.5
পাত্র হিসেবে সালমানকে প্রত্যাখ্যান করেছিল যে নায়িকার বাবা,বিনোদন,8,0.125,2.5
"

শেষ হচ্ছে শুভ-বিন্দুর অপেক্ষা
",বিনোদন,8,0.125,2.5
"সন্তানকে অস্বীকার, আদালতে ডিএনএ পরীক্ষার দাবি আলিয়ার",বিনোদন,8,0.125,2.5
শাকিরার ‘অত্যাচারে’ পিকের বাবা-মা ছেড়েছেন বাড়ি,বিনোদন,8,0.125,2.5
হাতে পেয়েও ৭ কেজি স্বর্ণ হারালেন অপু-মিম!,বিনোদন,8,0.125,2.5
"ভালোবাসা দিবসে গরুকে আলিঙ্গন, যা বলছেন টালিউড তারকারা",বিনোদন,8,0.125,2.5
"মুম্বাইয়ে ফিরলেন সিদ্ধার্থ-কিয়ারা, বিমানবন্দরে নেমেই মিষ্টি বিতরণ",বিনোদন,8,0.125,2.5
যে কারণে জন্মদিনে ট্রলের শিকার মিমি,বিনোদন,8,0.125,2.5
যারা থাকছেন সিদ্ধার্থ-কিয়ারার রিসেপশনে,বিনোদন,8,0.125,2.5
রোজায় যে মহৎ উদ্যোগ গ্রহণের ঘোষণা দিলেন অ্যানি খান,বিনোদন,8,0.125,2.5
এটি আমার জন্য অনেক বড় ট্রমা: প্রভা,বিনোদন,8,0.125,2.5
"ওদের উদ্দেশ্য অসৎ, আমি মানসিকভাবে ভেঙে পড়েছি: প্রভা",বিনোদন,8,0.125,2.5
দক্ষিণ আফ্রিকায় র‌্যাপ সংগীতশিল্পীকে গুলি করে হত্যা,বিনোদন,8,0.125,2.5
দৃষ্টিহীন সেই ছাত্রের সঙ্গে দেখা করে যা বললেন আসিফ,বিনোদন,8,0.125,2.5
এবার রাজনীতিতে শবনম বুবলী!,বিনোদন,8,0.125,2.5
‘ফরজি’ ধামাকা নিয়ে আসছেন শাহিদ কাপুর,বিনোদন,8,0.125,2.5
হোটেল রিল্যাক্সে পূর্ণিমা,বিনোদন,8,0.125,2.5
"বিয়ে হচ্ছে না অঙ্কুশ-ঐন্দ্রিলার, যা বললেন অভিনেতা",বিনোদন,8,0.125,2.5
বিয়ে মানেই ক্যারিয়ার শেষ নয়,বিনোদন,8,0.125,2.5
"কোন অ্যাপার্টমেন্টে সংসার পাতবেন সিদ্ধার্থ-কিয়ারা, দাম কত জানেন?",বিনোদন,8,0.125,2.5
‘তুমি কি আমায় সন্দেহ করছ?’,বিনোদন,8,0.125,2.5
কেন আমির খানকে কটাক্ষ করলেন এই অভিনেত্রী,বিনোদন,8,0.125,2.5
