id,title,category1,T5_rank,T5_S_scale,T5_S_score
18483853,রাষ্ট্রপতি পদের মনোনয়নপত্র নিয়ে নির্বাচন ভবনে আওয়ামী লীগের প্রতিনিধি দল,রাজনীতি,1,1.0,20.0
15377848,ধর্মভিত্তিক রাজনীতির কাছে আত্মসমর্পণ করেছে সরকার: ওয়ার্কার্স পার্টি,রাজনীতি,1,1.0,20.0
18487366,"আমরা জনগণের শান্তির জন্য রাজপথে থাকি, শান্তি সমাবেশ করি: শেখ পরশ",রাজনীতি,1,1.0,20.0
15377845,"সাত্তার ভূঁইয়া জীবনের শেষে এসে বুঝতে পেরেছেন, বাংলাদেশের উন্নয়ন আওয়ামী লীগ দিয়েই হয়: আইনমন্ত্রী",রাজনীতি,1,1.0,20.0
19649171,"

আড়াইহাজারে সংঘর্ষের ঘটনায় বিএনপির ১২০ নেতাকর্মীর নামে মামলা
",রাজনীতি,1,1.0,20.0
15377860,"মোহাম্মদ সাহাবুদ্দিন: ছাত্ররাজনীতিক থেকে বিচারক, দুদকের কমিশনার, তারপর রাষ্ট্রপতি পদে",রাজনীতি,1,1.0,20.0
19649162,"

পদযাত্রা কর্মসূচিতে অংশ নিতে জড়ো হচ্ছেন বিএনপি নেতাকর্মীরা
",রাজনীতি,1,1.0,20.0
13485582,নওগাঁয় বিএনপির পদযাত্রা ঘিরে সংঘর্ষের ঘটনায় ৩০ নেতা-কর্মীর নামে মামলা,রাজনীতি,1,1.0,20.0
15377859,আওয়ামী লীগ দিশাহারা হয়ে বিশৃঙ্খলা করতে পাল্টা কর্মসূচি দিচ্ছে: বিএনপি,রাজনীতি,1,1.0,20.0
16318941,বিএনপি-জামায়াতের সন্ত্রাস-নৈরাজ্য প্রতিহত করা হবে: আমিনুল ইসলাম,রাজনীতি,1,1.0,20.0
19649208,"

বিএনপি-জামায়াত দেশে আবারো আগুন সন্ত্রাস শুরু করেছে : ওবায়দুল কাদের
",রাজনীতি,1,1.0,20.0
16201505,আগামী নির্বাচনেও নৌকাকে বিজয়ী করতে হবে: মাশরাফি,রাজনীতি,1,1.0,20.0
15377946,মোহাম্মদ সাহাবুদ্দিনকে ‘মন থেকে’ অভিনন্দন জানালেন জি এম কাদের,রাজনীতি,1,1.0,20.0
18483856,মোস্তাফিজুর রহমান ফিজারই তাহলে পরবর্তী রাষ্ট্রপতি?,রাজনীতি,1,1.0,20.0
17127731,ছাত্রলীগের ২১ নেতাকর্মী বহিষ্কার,রাজনীতি,1,1.0,20.0
19189117,রাষ্ট্রপতি হিসেবে আওয়ামী লীগের মনোনয়ন পেয়েছেন সাহাবুদ্দিন চুপ্পু,রাজনীতি,1,1.0,20.0
16318936,ইসলামী ব্যাংকের গ্রাহক সেবা ক্যাম্পেইন শুরু,অর্থনীতি,2,0.875,17.5
16318939,সুপারব্র্যান্ড অ্যাওয়ার্ড পেল ‘ফ্রেন্ডশিপ’,অর্থনীতি,2,0.875,17.5
16318933,ফিডার রোড চালু হলে বদলে যাবে চট্টগ্রাম নগরী (ভিডিও),অর্থনীতি,2,0.875,17.5
17390901,পশ্চিমাদের আনুকূল্য ছাড়া অচল শি জিনপিং: রিপোর্ট,অর্থনীতি,2,0.875,17.5
16318943,গ্লোবাল ইসলামী ব্যাংকের ছয়টি উপশাখার উদ্বোধন,অর্থনীতি,2,0.875,17.5
18481841,ঢাকায় লেবানন ভিসা আবেদন কেন্দ্র চালু,অর্থনীতি,2,0.875,17.5
15353761,"ভূমিকম্পে বিপর্যস্ত তুরস্কে শীতের কাপড়, খাদ্য ও ওষুধ পাঠাবে ডিএনসিসি",অর্থনীতি,2,0.875,17.5
17390909,গুরুত্বপূর্ণ সফরে চীন যাচ্ছেন ইরানের প্রেসিডেন্ট,অর্থনীতি,2,0.875,17.5
18483763,ইসলামী ব্যাংকের গ্রাহক সেবা ক্যাম্পেইন শুরু,অর্থনীতি,2,0.875,17.5
19728745,"

গলাচিপায় ৫ দোকান পুড়ে ছাই, ২ কোটি টাকার ক্ষতি
",অর্থনীতি,2,0.875,17.5
17168980,হেরোইন ও ট্রাকসহ একজনকে গ্রেফতার করেছে ডিবি,আইন,3,0.75,15.0
17169021,বিমানবন্দর থানা এলাকা থেকে ৫ কেজি গাঁজাসহ গ্রেফতার ২,আইন,3,0.75,15.0
18483666,রাজধানীতে হত্যা ও অপহরণ মামলায় দুই পলাতক আসামি গ্রেপ্তার,আইন,3,0.75,15.0
13485564,সম্পত্তির লোভে মুক্তিযোদ্ধা বাবাকে হত্যা করেন ছেলে,আইন,3,0.75,15.0
18441475,৫০ তালগাছে কীটনাশক প্রয়োগ: পরবর্তী শুনানি ও আদেশ ২৩ ফেব্রুয়ারি,আইন,3,0.75,15.0
16181282,কুমিল্লায় বিপুল পরিমাণ গাঁজা-বিদেশি মদসহ আটক ২,আইন,3,0.75,15.0
18441398,লালমাই পাহাড় কাটা বিরত রাখার নির্দেশ হাইকোর্টের,আইন,3,0.75,15.0
16295561,"কানাডার আকাশেও রহস্যময় বস্তু, গুলিতে ভূপাতিত",বিজ্ঞান,4,0.625,12.5
17390931,"এবার কানাডার আকাশে 'রহস্যময় বস্তু', গুলির নির্দেশ!",বিজ্ঞান,4,0.625,12.5
19649142,"

ফ্রান্স জুড়ে বিক্ষোভ করেছে হাজার হাজার মানুষ
",বিজ্ঞান,4,0.625,12.5
16399274,নাইজারে সন্ত্রাসী হামলায় ১০ সেনা নিহত,বিজ্ঞান,4,0.625,12.5
19649219,"

৪ শিক্ষার্থীকে পিটিয়ে মারাত্মক জখম ছাত্রলীগের, যা ঘটেছিল সে রাতে
",শিক্ষা,5,0.5,10.0
17380041,অপহরণে অভিযুক্ত সেই অসিত পালকে বহিষ্কার করল ছাত্রলীগ,শিক্ষা,5,0.5,10.0
16265903,জ্ঞান অর্জনের জন্য প্রয়োজনে সুদূর চীনে যাও... যাবেন কীভাবে?,শিক্ষা,5,0.5,10.0
16295520,ছোট্ট ঘর থেকে জ্ঞানের আলো ছড়াচ্ছে দশ হাজার বই,শিক্ষা,5,0.5,10.0
16295518,জাতীয় বিজ্ঞান অলিম্পিয়াড ২০২৩’র পুরস্কার বিতরণ,শিক্ষা,5,0.5,10.0
16318947,"শিক্ষককে লাঞ্চিত করলেন ইউপি চেয়ারম্যান, প্রতিবাদে মানববন্ধন",শিক্ষা,5,0.5,10.0
17380037,ষষ্ঠ ও সপ্তম শ্রেণির সেই দুই বই না পড়ানোর নির্দেশ,শিক্ষা,5,0.5,10.0
18483723,জবির সংগঠনগুলোকে সাংস্কৃতিক চর্চা বাড়াতে হবে: উপাচার্য,শিক্ষা,5,0.5,10.0
18483725,১২ দাবিতে ইডেন কলেজ ছাত্রলীগের স্মারকলিপি,শিক্ষা,5,0.5,10.0
17380096,জবিতে নতুন তিন বিভাগের অনুমোদন,শিক্ষা,5,0.5,10.0
18483732,জাবিতে গেস্টরুমে ৫ শিক্ষার্থীকে মারধর করল দুই ছাত্রলীগ,শিক্ষা,5,0.5,10.0
19189126,নারীদের বিজ্ঞানে উৎকর্ষ লাভের সুযোগ দিতে বৈশ্বিক প্রচেষ্টার আহ্বান জানালেন প্রধানমন্ত্রী,লাইফস্টাইল,6,0.375,7.5
18441481,ভূমিকম্পের দেড়শ ঘণ্টা পর ধ্বংসস্তূপ থেকে উদ্ধার অনেকে,লাইফস্টাইল,6,0.375,7.5
18483693,২৪ ঘণ্টায় ডেঙ্গু নিয়ে হাসপাতালে ভর্তি ১৪,লাইফস্টাইল,6,0.375,7.5
17390912,"ভূমিকম্পেও থেমে নেই লুটপাট, তুরস্কে গ্রেফতার ৪৮",লাইফস্টাইল,6,0.375,7.5
16295570,তুরস্ক ও সিরিয়ায় ভূমিকম্পে মৃতের সংখ্যা ৫০ হাজার ছাড়াবে: জাতিসংঘ,লাইফস্টাইল,6,0.375,7.5
18483801,"ভূমিকম্প: মৃতের সংখ্যা ২৮ হাজার ছাড়িয়েছে, তুরস্কে অস্থিরতায় উদ্ধার ব্যাহত",লাইফস্টাইল,6,0.375,7.5
16318946,নেপাল-ভুটানসহ পাঁচ দেশে চালু হলো ভারতের ফোনপি,লাইফস্টাইল,6,0.375,7.5
17376804,ফিট থাকতে কী খাবেন?,লাইফস্টাইল,6,0.375,7.5
16295554,"ভূমিকম্পে নিহত ২৮ হাজার, ধ্বংসস্তূপের নিচে বহু মানুষ",লাইফস্টাইল,6,0.375,7.5
18483690,চোখের সমস্যায় ভুগছেন ঢাকার ২৪ শতাংশ মানুষ,লাইফস্টাইল,6,0.375,7.5
19649229,"

তুরস্ক ও সিরিয়ায় ভূমিকম্প : নিহতের সংখ্যা ৩৪ হাজার ছাড়াল
",লাইফস্টাইল,6,0.375,7.5
17332846,আজ মুখোমুখি হচ্ছে চিরপ্রতিদ্বন্দ্বী ভারত-পাকিস্তান,খেলাধুলা,7,0.25,5.0
17332797,"ভারত সফরে অস্ট্রেলিয়ার ভরাডুবি, যা বললেন ভন",খেলাধুলা,7,0.25,5.0
19189032,টি-২০ বিশ্বকাপে সেমিফাইনাল খেলার স্বপ্ন জ্যােতির,খেলাধুলা,7,0.25,5.0
19649169,"

বরিশালের বিপক্ষে ১৭১ রান করলেই কোয়ালিফায়ারে রংপুর
",খেলাধুলা,7,0.25,5.0
13485534,"মাঠ ঠিক নেই, ধর্মশালা থেকে সরে গেল ভারত-অস্ট্রেলিয়া টেস্ট",খেলাধুলা,7,0.25,5.0
17375674,‘মলম বিতর্ক’ শাস্তি হলো ভারতীয় তারকার,খেলাধুলা,7,0.25,5.0
19649182,"

পগবার ফেরা এখনো নিশ্চিত নয়
",খেলাধুলা,7,0.25,5.0
17332784,"ফের বিয়ে করবেন হার্দিক পান্ডিয়া, পাত্রী কে?",খেলাধুলা,7,0.25,5.0
19189122,পঞ্চমবার ক্লাব বিশ্বকাপ শিরোপা জিতলো রিয়াল মাদ্রিদ,খেলাধুলা,7,0.25,5.0
13485533,আরেকটু সময় না পাওয়ার আক্ষেপ শামীমের,খেলাধুলা,7,0.25,5.0
13482704,Coleman wins 60m crown at Millrose Games after Lyles DQ,খেলাধুলা,7,0.25,5.0
18483710,ফরচুন বরিশালকে বিদায় করে কোয়ালিফায়ারে রংপুর,খেলাধুলা,7,0.25,5.0
17332762,ভারতীয় দলে পক্ষপাতিত্বের অভিযোগ,খেলাধুলা,7,0.25,5.0
17104421,দক্ষিণ আফ্রিকায় র‌্যাপ সংগীতশিল্পীকে গুলি করে হত্যা,বিনোদন,8,0.125,2.5
17104398,কেন আমির খানকে কটাক্ষ করলেন এই অভিনেত্রী,বিনোদন,8,0.125,2.5
17104410,হোটেল রিল্যাক্সে পূর্ণিমা,বিনোদন,8,0.125,2.5
17104425,"ওদের উদ্দেশ্য অসৎ, আমি মানসিকভাবে ভেঙে পড়েছি: প্রভা",বিনোদন,8,0.125,2.5
19649235,"

তুরস্কের ভূমিকম্প : ধ্বংসস্তূপের নিচ থেকে যেভাবে উদ্ধার করা হলো দু’বোনকে
",বিনোদন,8,0.125,2.5
18483806,অবসরের বয়সসীমা: ফ্রান্সে পুলিশের সঙ্গে আন্দোলনকারীদের সংঘর্ষ,বিনোদন,8,0.125,2.5
19649166,"

হৃদয় ছুঁয়ে যাওয়া আজারবাইজানের সেই যুবকের গল্প
",বিনোদন,8,0.125,2.5
17113004,ইরানি তরুণীকে ধর্ষণের অভিযোগ রাখির স্বামীর বিরুদ্ধে,বিনোদন,8,0.125,2.5
19649230,"

ভারতে ‘আপনি-তুই’ সম্বোধন নিয়ে সামাজিক যোগাযোগমাধ্যমে শোরগোল
",বিনোদন,8,0.125,2.5
19570612,মির্জা ফখরুলকে পাকিস্তান চলে যেতে বললেন বঙ্গবীর কাদের সিদ্দিকী,অন্যান্য,9,0.0,0.0
14782279,‘সাকিবের মতো’ হতে চান লিন্ডে,অন্যান্য,9,0.0,0.0
19728732,"

আসিয়ান থেকে মিয়ানমারকে বাদ  দেয়া উচিত : আনোয়ার ইব্রাহিম
",অন্যান্য,9,0.0,0.0
13484532,Two PWs testify in actor Sohel Chowdhury murder case,অন্যান্য,9,0.0,0.0
14782287,ছোট পর্দায় আজকের খেলা,অন্যান্য,9,0.0,0.0
13482709,President of Iran to visit China,অন্যান্য,9,0.0,0.0
13482695,Cyprus rivals woo swing voters in presidential run-off,অন্যান্য,9,0.0,0.0
14782249,সহপাঠীদের ক্লাস বর্জন,অন্যান্য,9,0.0,0.0
14782286,প্লে-অফ পর্বে দাম বাড়লো টিকিটের,অন্যান্য,9,0.0,0.0
14782267,‘কাঁঠালবাড়ীতে আন্তর্জাতিক মানের বঙ্গবন্ধু কনভেনশন সেন্টার নির্মাণ করা হবে’,অন্যান্য,9,0.0,0.0
14784110,পুলিশের বীরত্বে দুর্বার গতিতে এগিয়ে যাচ্ছে দেশ: স্বরাষ্ট্রমন্ত্রী,অন্যান্য,9,0.0,0.0
14782228,ভারতের ৫৪ এলিজিবল ব্যাচেলরের নাম প্রকাশ,অন্যান্য,9,0.0,0.0
19649129,"

 একবার  ধর  বললে  চৌদ্দগোষ্ঠীর কেউ থাকতে পারবে  না : শামীম ওসমান 
",অন্যান্য,9,0.0,0.0
19649088,"

পূবালী ব্যাংকের বার্ষিক ব্যবস্থাপক সম্মেলন
",অন্যান্য,9,0.0,0.0
19648628,"

হিরোর হিরোইজমের পূর্বাপর
",অন্যান্য,9,0.0,0.0
